project_name,project_name_crawl,project_name_hd,address,city,district,ward,lat_cdnt,long_cdnt,alias,alias_cum_perc,sector,building,max_building_num,project_name_accent_rm
Khu Đô Thị Mới Sơn Đồng,Khu đô thị mới Sơn Đồng,,"Xã Di Trạch, Hoài Đức, Hà Nội.",TP. Hà Nội,H. Hoài Đức,X. Di Trạch,,,,,,,,Khu Do Thi Moi Son Dong
Khu Đô Thị Mới Resco,Khu đô thị mới Resco,,"Số 2 Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Bắc Từ Liêm,P. Cổ Nhuế 2,,,,,,,,Khu Do Thi Moi Resco
Khu Đô Thị Mới Quế Võ,Khu đô thị mới Quế Võ,,"Đường Quốc lộ 18, Xã Phượng Mao, Quế Võ, Bắc Ninh.",T. Bắc Ninh,H. Quế Võ,X. Phượng Mao,,,,,,,,Khu Do Thi Moi Que Vo
Khu Đô Thị Mới Phường Xuân Hòa,Khu đô thị mới phường Xuân Hòa,,"Đường Lê Quang Đạo, Phường Xuân Hòa, Phúc Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Phúc Yên,P. Xuân Hòa,,,,,,,,Khu Do Thi Moi Phuong Xuan Hoa
Khu Đô Thị Mới Phước Long,Khu đô thị mới Phước Long,,"Đường Nguyễn Tất Thành, Phường Phước Long , Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,P. Phước Long,,,,,,,,Khu Do Thi Moi Phuoc Long
Khu Đô Thị Mới Phước An,Khu đô thị mới Phước An,,"Đường Lê Hồng Phong, Xã Long Thọ, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Long Thọ,,,,,,,,Khu Do Thi Moi Phuoc An
Khu Đô Thị Mới Phú Thịnh,Khu đô thị mới Phú Thịnh,,"Phường Phú Thịnh, Sơn Tây, Hà Nội.",TP. Hà Nội,TX. Sơn Tây,P. Phú Thịnh,,,,,,,,Khu Do Thi Moi Phu Thinh
Khu Đô Thị Mới Phú Lương,Khu đô thị mới Phú Lương,,"Đường Kiến Hưng, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,UNK,,,,,,,,Khu Do Thi Moi Phu Luong
Khu Đô Thị Mới Phú Cường,Khu Đô Thị Mới Phú Cường,,"TP.Rạch Giá, Kiên Giang.",T. Kiên Giang,TP. Rạch Giá,UNK,,,,,,,,Khu Do Thi Moi Phu Cuong
Khu Đô Thị Mới Phù Khê,Khu đô thị mới Phù Khê,,"Xã Phù Khê, Thị xã Từ Sơn, Bắc Ninh.",T. Bắc Ninh,TP. Từ Sơn,P. Phù Khê,,,,,,,,Khu Do Thi Moi Phu Khe
Khu Đô Thị Mới Pháp Vân - Tứ Hiệp,Khu đô thị mới Pháp Vân - Tứ Hiệp,,"Phường Hoàng Liệt, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Hoàng Liệt,,,,,,,,Khu Do Thi Moi Phap Van - Tu Hiep
Khu Đô Thị Mới Nhơn Hội New City,Khu đô thị mới Nhơn Hội New City,,"Đường 19B, Khu 4, Xã Nhơn Lý, Thành phố Quy Nhơn, Bình Định.",T. Bình Định,TP. Quy Nhơn,UNK,,,,,,,,Khu Do Thi Moi Nhon Hoi New City
Khu Đô Thị Mới Nghĩa Đô,Khu đô thị mới Nghĩa Đô,,"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Bắc Từ Liêm,P. Cổ Nhuế 1,,,,,,,,Khu Do Thi Moi Nghia Do
Khu Đô Thị Mới Nam Vĩnh Yên,Khu đô thị mới Nam Vĩnh Yên,,"Xã Thanh Trù, Vĩnh Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Vĩnh Yên,X. Thanh Trù,,,,,,,,Khu Do Thi Moi Nam Vinh Yen
Khu Đô Thị Mới Nam Từ Sơn,Khu đô thị mới Nam Từ Sơn,,"Đường Hữu Nghị, Xã Phù Chẩn, Từ Sơn, Bắc Ninh.",T. Bắc Ninh,TP. Từ Sơn,P. Phù Chẩn,,,,,,,,Khu Do Thi Moi Nam Tu Son
Khu Đô Thị Mới Nam Sông Cái,Khu đô thị mới Nam Sông Cái,,"Phường Diên Khánh , Diên Khánh, Khánh Hòa.",T. Khánh Hòa,H. Diên Khánh,TT. Diên Khánh,,,,,,,,Khu Do Thi Moi Nam Song Cai
Khu Đô Thị Mới Nam Phan Thiết,Khu đô thị mới Nam Phan Thiết,,"Đường Quốc lộ 1A, Hàm Thuận Nam, Bình Thuận.",T. Bình Thuận,H. Hàm Thuận Nam,TT. Thuận Nam,,,,,,,,Khu Do Thi Moi Nam Phan Thiet
Khu Đô Thị Mới Lấn Biển Tây Bắc Tp. Rạch Giá,Khu đô thị mới lấn biển Tây Bắc TP. Rạch Giá,,"Đường Số 5, Phường Vĩnh Thanh, Rạch Giá, Kiên Giang.",T. Kiên Giang,TP. Rạch Giá,P. Vĩnh Thanh,,,,,,,,Khu Do Thi Moi Lan Bien Tay Bac Tp. Rach Gia
Khu Đô Thị Mới Lý Thái Tổ,Khu đô thị mới Lý Thái Tổ,,"Phố Lý Thái Tổ, Bắc Ninh, Bắc Ninh.",T. Bắc Ninh,TP. Bắc Ninh,UNK,,,,,,,,Khu Do Thi Moi Ly Thai To
Khu Đô Thị Mới Long Thọ,Khu đô thị mới Long Thọ,,"Xã Phước An, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Phước An,,,,,,,,Khu Do Thi Moi Long Tho
Khu Đô Thị Mới Kim Dinh,Khu đô thị mới Kim Dinh,,"Đường Quốc Lộ 51, Phường Kim Dinh, Bà Rịa, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Bà Rịa,P. Kim Dinh,,,,,,,,Khu Do Thi Moi Kim Dinh
Khu Đô Thị Mới Hải Quân Tam Giang,Khu đô thị mới Hải Quân Tam Giang,,"Xã Tam Giang, Yên Phong, Bắc Ninh.",T. Bắc Ninh,H. Yên Phong,X. Tam Giang,,,,,,,,Khu Do Thi Moi Hai Quan Tam Giang
Khu Đô Thị Mới Hạ Đình,Khu đô thị mới Hạ Đình,,"214 Nguyễn Xiển, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Thanh Xuân Bắc,,,,,,,,Khu Do Thi Moi Ha Dinh
Khu Đô Thị Mới Hưng Phú - Cần Thơ,Khu đô thị mới Hưng Phú - Cần Thơ,,"Lô 49 Quang Trung, Phường Hưng Phú, Cái Răng, Cần Thơ.",TP. Cần Thơ,Q. Cái Răng,P. Hưng Phú,,,,,,,,Khu Do Thi Moi Hung Phu - Can Tho
Khu Đô Thị Mới Hà Tiên,Khu đô thị mới Hà Tiên,,"Phường Pháo Đài, Hà Tiên, Kiên Giang.",T. Kiên Giang,TP. Hà Tiên,P. Pháo Đài,,,,,,,,Khu Do Thi Moi Ha Tien
Khu Đô Thị Mới Hqc Trà Vinh,Khu đô thị mới HQC Trà Vinh,,"Đường Chu Văn An, Phường 4, Trà Vinh, Trà Vinh.",T. Trà Vinh,TP. Trà Vinh,P. 04,,,,,,,,Khu Do Thi Moi Hqc Tra Vinh
Khu Đô Thị Mới Hoàng Phát,Khu đô thị mới Hoàng Phát,,"Phường 1, Bạc Liêu, Bạc Liêu.",T. Bạc Liêu,TP. Bạc Liêu,P. 01,,,,,,,,Khu Do Thi Moi Hoang Phat
Khu Đô Thị Mới Dương Nội,Khu đô thị mới Dương Nội,,"Khu đô thị mới Dương Nội - Tập đoàn Nam Cường, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Dương Nội,,,,,,,,Khu Do Thi Moi Duong Noi
Khu Đô Thị Mới Cựu Viên,Khu đô thị mới Cựu Viên,,"Đường Lê Duẩn, Phường Bắc Sơn, Kiến An, Hải Phòng.",TP. Hải Phòng,Q. Kiến An,P. Bắc Sơn,,,,,,,,Khu Do Thi Moi Cuu Vien
Khu Đô Thị Mới Cổ Nhuế,Khu đô thị mới Cổ Nhuế,,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Bắc Từ Liêm,P. Cổ Nhuế 1,,,,,,,,Khu Do Thi Moi Co Nhue
Khu Đô Thị Mới Cẩm Văn,Khu đô thị mới Cẩm Văn,,"Đường Quốc lộ 1A, Phường Nhơn Hưng, An Nhơn, Bình Định.",T. Bình Định,TX. An Nhơn,P. Nhơn Hưng,,,,,,,,Khu Do Thi Moi Cam Van
Khu Đô Thị Mới Cầu Dâu,Khu đô thị mới Cầu Dâu,,"Đường Quốc lộ 15, Thị trấn Đô Lương, Đô Lương, Nghệ An.",T. Nghệ An,H. Đô Lương,TT. Đô Lương,,,,,,,,Khu Do Thi Moi Cau Dau
Khu Đô Thị Mới Cầu Bươu,Khu đô thị mới Cầu Bươu,,"Xã Tân Triều, Thanh Trì, Hà Nội.",TP. Hà Nội,H. Thanh Trì,X. Tân Triều,,,,,,,,Khu Do Thi Moi Cau Buou
Khu Đô Thị Mới Châu Sơn,Khu đô thị mới Châu Sơn,,"Phố Lý Thái Tổ, Xã Châu Sơn, Phủ Lý, Hà Nam.",T. Hà Nam,TP. Phủ Lý,P. Châu Sơn,,,,,,,,Khu Do Thi Moi Chau Son
Khu Đô Thị Mới Bắc Tân Lợi,Khu đô thị mới Bắc Tân Lợi,,"Đường Hà Huy Tập, Xã Tân Lợi, Buôn Ma Thuột, Đắk Lắk.",T. Đắk Lắk,TP. Buôn Ma Thuột,P. Tân Lợi,,,,,,,,Khu Do Thi Moi Bac Tan Loi
Khu Đô Thị Mới Bình Minh,Khu đô thị mới Bình Minh,,"Xã Mỹ Hòa, Bình Minh, Vĩnh Long.",T. Vĩnh Long,TX. Bình Minh,X. Mỹ Hòa,,,,,,,,Khu Do Thi Moi Binh Minh
Khu Đô Thị Mới Bình Chiểu,Khu đô thị mới Bình Chiểu,,"Đường 15, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Bình Chiểu,,,,,,,,Khu Do Thi Moi Binh Chieu
Khu Đô Thị Mới Ba Đình - Mê Linh,Khu đô thị mới Ba Đình - Mê Linh,,"Đường Quốc lộ 23, Xã Tráng Việt, Mê Linh, Hà Nội.",TP. Hà Nội,H. Mê Linh,X. Tráng Việt,,,,,,,,Khu Do Thi Moi Ba Dinh - Me Linh
Khu Đô Thị Mới An Hưng,Khu đô thị mới An Hưng,,"Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. La Khê,,,,,,,,Khu Do Thi Moi An Hung
Khu Đô Thị Mới An Bình,Khu đô thị mới An Bình,,"Đường Nguyễn Văn Cừ, Phường An Bình, Ninh Kiều, Cần Thơ.",TP. Cần Thơ,Q. Ninh Kiều,P. An Bình,,,,,,,,Khu Do Thi Moi An Binh
Khu Đô Thị Mới Aic Mê Linh,Khu đô thị mới AIC Mê Linh,,"Xã Tiền Phong, Mê Linh, Hà Nội.",TP. Hà Nội,H. Mê Linh,X. Tiền Phong,,,,,,,,Khu Do Thi Moi Aic Me Linh
Khu Đô Thị Mới 379 Tân Mỹ,Khu đô thị mới 379 Tân Mỹ,,"Đường Tỉnh Lộ 295B, Xã Tân Mỹ, Bắc Giang, Bắc Giang.",T. Bắc Giang,TP. Bắc Giang,X. Tân Mỹ,,,,,,,,Khu Do Thi Moi 379 Tan My
Khu Đô Thị Mới 13B Conic - Nam Sài Gòn,Khu đô thị mới 13B Conic - Nam Sài Gòn,,"Đại lộ nguyễn Văn Linh, xã Phong Phú, huyện Bình Chánh, Tp.HCM.",TP. Hồ Chí Minh,H. Bình Chánh,X. Phong Phú,,,,,,,,Khu Do Thi Moi 13B Conic - Nam Sai Gon
Khu Đô Thị Mỗ Lao,Khu đô thị Mỗ Lao,,"Phường Mỗ Lao, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Mộ Lao,,,,,,,,Khu Do Thi Mo Lao
Khu Đô Thị Mạnh Đức,Khu đô thị Mạnh Đức,,"Đường Lý Thánh Tông, Từ Sơn, Bắc Ninh.",T. Bắc Ninh,TP. Từ Sơn,UNK,,,,,,,,Khu Do Thi Manh Duc
Khu Đô Thị Mạnh Hùng,Khu đô thị Mạnh Hùng,,"Đường ĐT 491, Xã Bắc Lý, Lý Nhân, Hà Nam.",T. Hà Nam,H. Lý Nhân,X. Bắc Lý,,,,,,,,Khu Do Thi Manh Hung
Khu Đô Thị Mương Phóng Thủy,Khu đô thị Mương Phóng Thủy,,"Phường Đồng Phú, Đồng Hới, Quảng Bình.",T. Quảng Bình,TP. Đồng Hới,P. Đồng Phú,,,,,,,,Khu Do Thi Muong Phong Thuy
Khu Đô Thị Mipec Tràng An,Khu đô thị Mipec Tràng An,,"Phường Vinh Tân, Vinh, Nghệ An.",T. Nghệ An,TP. Vinh,P. Vinh Tân,,,,,,,,Khu Do Thi Mipec Trang An
Khu Đô Thị Minh Phương,Khu đô thị Minh Phương,,"Phường Nông Trang, xã Minh phương, Việt Trì, Phú Thọ.",T. Phú Thọ,TP. Việt Trì,P. Minh Phương,,,,,,,,Khu Do Thi Minh Phuong
Khu Đô Thị Minh Giang Đầm Và,Khu đô thị Minh Giang Đầm Và,,"Xã Tiền Phong, Mê Linh, Hà Nội.",TP. Hà Nội,H. Mê Linh,X. Tiền Phong,,,,,,,,Khu Do Thi Minh Giang Dam Va
Khu Đô Thị Mekong Centre,Khu đô thị Mekong Centre,,"5A Đường Mạc Đĩnh Chi, Phường 4, Sóc Trăng, Sóc Trăng.",T. Sóc Trăng,TP. Sóc Trăng,P. 04,,,,,,,,Khu Do Thi Mekong Centre
Khu Đô Thị Mega City 2,Khu đô thị Mega City 2,,"Đường 25C, xã Phú Hội, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Phú Hội,,,,,,,,Khu Do Thi Mega City 2
Khu Đô Thị Mai Trai - Nghĩa Phủ,Khu đô thị Mai Trai - Nghĩa Phủ,,"Đường Quốc lộ 32, Phường Viên Sơn, Sơn Tây, Hà Nội.",TP. Hà Nội,TX. Sơn Tây,P. Viên Sơn,,,,,,,,Khu Do Thi Mai Trai - Nghia Phu
Khu Đô Thị Lợi Bình Nhơn,Khu đô thị Lợi Bình Nhơn,,"Đường 10, Xã Lợi Bình Nhơn, Tân An, Long An.",T. Long An,TP. Tân An,X. Lợi Bình Nhơn,,,,,,,,Khu Do Thi Loi Binh Nhon
Khu Đô Thị Lạc Vệ New Center,Khu đô thị Lạc Vệ New Center,,"Đường Quốc Lộ 38, Xã Lạc Vệ, Tiên Du, Bắc Ninh.",T. Bắc Ninh,H. Tiên Du,X. Lạc Vệ,,,,,,,,Khu Do Thi Lac Ve New Center
Khu Đô Thị Lạc Hồng,Khu đô thị Lạc Hồng,,"Phố Phố Nối, Xã Nhân Hòa, Mỹ Hào, Hưng Yên.",T. Hưng Yên,TX. Mỹ Hào,P. Nhân Hòa,,,,,,,,Khu Do Thi Lac Hong
Khu Đô Thị Lê Hồng Phong Ii,Khu đô thị Lê Hồng Phong II,,"Đường Lê Hồng Phong, Phường Phước Hải, Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,P. Phước Hải,,,,,,,,Khu Do Thi Le Hong Phong Ii
Khu Đô Thị Lê Hồng Phong I,Khu đô thị Lê Hồng Phong I,,"Đường Lê Hồng Phong, Phường Phước Hải, Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,P. Phước Hải,,,,,,,,Khu Do Thi Le Hong Phong I
Khu Đô Thị Làng Thời Đại,Khu đô thị Làng Thời Đại,,"Thị trấn Xuân Mai, Chương Mỹ, Hà Nội.",TP. Hà Nội,H. Chương Mỹ,TT. Xuân Mai,,,,,,,,Khu Do Thi Lang Thoi Dai
Khu Đô Thị Long Thành,Khu đô thị Long Thành,,"Xã Quỳnh Dị, Hoàng Mai, Nghệ An.",T. Nghệ An,TX. Hoàng Mai,P. Quỳnh Dị,,,,,,,,Khu Do Thi Long Thanh
Khu Đô Thị Long Châu,Khu đô thị Long Châu,,"Phường Vinh Tân, Vinh, Nghệ An.",T. Nghệ An,TP. Vinh,P. Vinh Tân,,,,,,,,Khu Do Thi Long Chau
Khu Đô Thị Lakeview City,Khu đô thị Lakeview City,,"Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,,,,,,Khu Do Thi Lakeview City
Khu Đô Thị Kỳ Sơn,Khu đô thị Kỳ Sơn,,"Đường Quốc lộ 6, Thị trấn Kỳ Sơn, Kỳ Sơn, Hòa Bình.",T. Hòa Bình,TP. Hòa Bình,X. Hòa Bình,,,,,,,,Khu Do Thi Ky Son
Khu Đô Thị Kiến Hưng,Khu đô thị Kiến Hưng,,"Phố Lê Trọng Tấn, Phường Kiến Hưng, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Kiến Hưng,,,,,,,,Khu Do Thi Kien Hung
Khu Đô Thị Kim Đô,Khu đô thị Kim Đô,,"Thị trấn Chờ, Yên Phong, Bắc Ninh.",T. Bắc Ninh,H. Yên Phong,TT. Chờ,,,,,,,,Khu Do Thi Kim Do
Khu Đô Thị Kim Hoa,Khu đô thị Kim Hoa,,"Xã Kim Hoa, Mê Linh, Hà Nội.",TP. Hà Nội,H. Mê Linh,X. Mê Linh,,,,,,,,Khu Do Thi Kim Hoa
Khu Đô Thị Khánh Vĩnh,Khu đô thị Khánh Vĩnh,,"Đường Tỉnh Lộ 2, Thị trấn Khánh Vĩnh, Khánh Vĩnh, Khánh Hòa.",T. Khánh Hòa,H. Khánh Vĩnh,TT. Khánh Vĩnh,,,,,,,,Khu Do Thi Khanh Vinh
Khu Đô Thị Id Junction,Khu đô thị ID Junction,,"Thị trấn Long Thành, Long Thành, Đồng Nai.",T. Đồng Nai,H. Long Thành,TT. Long Thành,,,,,,,,Khu Do Thi Id Junction
Khu Đô Thị Hồng Vận,Khu đô thị Hồng Vận,,"Đường Hùng Vương, Phường Ka Long, Móng Cái, Quảng Ninh.",T. Quảng Ninh,TP. Móng Cái,P. Ka Long,,,,,,,,Khu Do Thi Hong Van
Khu Đô Thị Hồng Vũ,Khu đô thị Hồng Vũ,,"Phường Thắng Lợi, Sông Công, Thái Nguyên.",T. Thái Nguyên,TP. Sông Công,P. Thắng Lợi,,,,,,,,Khu Do Thi Hong Vu
Khu Đô Thị Hồng Diện,Khu đô thị Hồng Diện,,"226 Phố Tôn Đức Thắng, Phường Bãi Bông, Phổ Yên, Thái Nguyên.",T. Thái Nguyên,TX. Phổ Yên,P. Bãi Bông,,,,,,,,Khu Do Thi Hong Dien
Khu Đô Thị Hồ Xương Rồng,Khu đô thị Hồ Xương Rồng,,"Đường Cách Mạng Tháng Tám, Phường Phan Đình Phùng, Thái Nguyên, Thái Nguyên.",T. Thái Nguyên,TP. Thái Nguyên,P. Phan Đình Phùng,,,,,,,,Khu Do Thi Ho Xuong Rong
Khu Đô Thị Hạnh Phúc,Khu đô thị Hạnh Phúc,,"Đường ĐT 741, Xã Chánh Phú Hòa, Bến Cát, Bình Dương.",T. Bình Dương,TX. Bến Cát,P. Chánh Phú Hòa,,,,,,,,Khu Do Thi Hanh Phuc
Khu Đô Thị Hạ Long Marina,Khu đô thị Hạ Long Marina,,"Phường Bãi Cháy, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Bãi Cháy,,,,,,,,Khu Do Thi Ha Long Marina
Khu Đô Thị Hương Sen Garden,Khu đô thị Hương Sen Garden,,"Xã Đức Hoà Hạ, Đức Hòa, Long An.",T. Long An,H. Đức Hòa,X. Đức Hòa Hạ,,,,,,,,Khu Do Thi Huong Sen Garden
Khu Đô Thị Hương Mạc,Khu đô thị Hương Mạc,,"Xã Hương Mạc, Từ Sơn, Bắc Ninh.",T. Bắc Ninh,TP. Từ Sơn,P. Hương Mạc,,,,,,,,Khu Do Thi Huong Mac
Khu Đô Thị Hưng Phú - Phú Yên,Khu đô thị Hưng Phú - Phú Yên,,"Đường Trần Phú, Phường 5, Tuy Hòa, Phú Yên.",T. Phú Yên,TP. Tuy Hòa,P. 05,,,,,,,,Khu Do Thi Hung Phu - Phu Yen
Khu Đô Thị Hưng Phú,Khu đô thị Hưng Phú,,"Đường Nguyễn Thị Định, Phường Phú Tân, Bến Tre, Bến Tre.",T. Bến Tre,TP. Bến Tre,P. Phú Tân,,,,,,,,Khu Do Thi Hung Phu
Khu Đô Thị Hưng Phát,Khu đô thị Hưng Phát,,"Đường Hùng Vương, xã Thới Hòa, Bến Cát, Bình Dương.",T. Bình Dương,TX. Bến Cát,P. Thới Hòa,,,,,,,,Khu Do Thi Hung Phat
Khu Đô Thị Hưng Hòa,Khu đô thị Hưng Hòa,,"Đường Quốc lộ 1A, Xã Thanh Phong, Thanh Liêm, Hà Nam.",T. Hà Nam,H. Thanh Liêm,X. Thanh Phong,,,,,,,,Khu Do Thi Hung Hoa
Khu Đô Thị Hòa Vượng,Khu đô thị Hòa Vượng,,"Đường Phạm Văn Nghị, Phường Lộc Vượng, Nam Định, Nam Định.",T. Nam Định,TP. Nam Định,P. Lộc Vượng,,,,,,,,Khu Do Thi Hoa Vuong
Khu Đô Thị Hòa Quý,Khu đô thị Hòa Quý,,"Đường Võ Chí Công, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng.",TP. Đà Nẵng,Q. Ngũ Hành Sơn,P. Hòa Quý,,,,,,,,Khu Do Thi Hoa Quy
Khu Đô Thị Hòa Phát Phố Nối,Khu đô thị Hòa Phát Phố Nối,,"Phố Phố Nối, Mỹ Hào, Hưng Yên.",T. Hưng Yên,TX. Mỹ Hào,UNK,,,,,,,,Khu Do Thi Hoa Phat Pho Noi
Khu Đô Thị Hà Phong,Khu đô thị Hà Phong,,"Xã Tiền Phong, Mê Linh, Hà Nội.",TP. Hà Nội,H. Mê Linh,X. Tiền Phong,,,,,,,,Khu Do Thi Ha Phong
Khu Đô Thị Hud Sơn Tây,Khu đô thị HUD Sơn Tây,,"Phường Quang Trung, Sơn Tây, Hà Nội.",TP. Hà Nội,TX. Sơn Tây,P. Quang Trung,,,,,,,,Khu Do Thi Hud Son Tay
Khu Đô Thị Hoàng Long,Khu đô thị Hoàng Long,,"326 Lê Hồng Phong, phường Phước Long, TP. Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,P. Phước Long,,,,,,,,Khu Do Thi Hoang Long
Khu Đô Thị Hoàng Cát Center,Khu đô thị Hoàng Cát Center,,"Đường Quốc Lộ 13, Xã Minh Thành, Chơn Thành, Bình Phước.",T. Bình Phước,H. Chơn Thành,X. Minh Thành,,,,,,,,Khu Do Thi Hoang Cat Center
Khu Đô Thị Him Lam Kênh Tẻ,Khu đô thị Him Lam Kênh Tẻ,,"Phường Tân Hưng, Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,P. Tân Hưng,,,,,,,,Khu Do Thi Him Lam Kenh Te
Khu Đô Thị Green Lake,Khu đô thị Green Lake,,"Đường Hồ Sỹ Dương, Phường Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng.",TP. Đà Nẵng,Q. Cẩm Lệ,P. Hòa Thọ Đông,,,,,,,,Khu Do Thi Green Lake
Khu Đô Thị Green City,Khu đô thị Green City,,"Đường ĐT 741, Xã Phước Hòa, Phú Giáo, Bình Dương.",T. Bình Dương,H. Phú Giáo,X. Phước Hòa,,,,,,,,Khu Do Thi Green City
Khu Đô Thị Golden Center,Khu đô thị Golden Center,,"Phố Phùng Hưng, Xã An Viễn, Trảng Bom, Đồng Nai.",T. Đồng Nai,H. Trảng Bom,X. An Viễn,,,,,,,,Khu Do Thi Golden Center
Khu Đô Thị Gold Hill,Khu đô thị Gold Hill,,"Thị trấn Trảng Bom, Trảng Bom, Đồng Nai.",T. Đồng Nai,H. Trảng Bom,TT. Trảng Bom,,,,,,,,Khu Do Thi Gold Hill
Khu Đô Thị Glenda City,Khu đô thị Glenda City,,"Phường Điện Nam Trung, Điện Bàn, Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,P. Điện Nam Trung,,,,,,,,Khu Do Thi Glenda City
Khu Đô Thị Geleximco - Lê Trọng Tấn,Khu đô thị Geleximco - Lê Trọng Tấn,,"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Dương Nội,,,,,,,,Khu Do Thi Geleximco - Le Trong Tan
Khu Đô Thị Ecopark,Khu đô thị Ecopark,,"Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên.",T. Hưng Yên,H. Văn Giang,X. Xuân Quan,,,,,,,,Khu Do Thi Ecopark
Khu Đô Thị E.City Tân Đức,Khu Đô Thị E.City Tân Đức,,"Đường Tỉnh lộ 9, Xã Hựu Thạnh, Đức Hòa, Long An.",T. Long An,H. Đức Hòa,X. Hựu Thạnh,,,,,,,,Khu Do Thi E.City Tan Duc
Khu Đô Thị Dệt May,Khu đô thị Dệt May,,"Số 43 Tô Hiệu, phường Năng Tĩnh, TP. Nam Định, Nam Định.",T. Nam Định,TP. Nam Định,P. Năng Tĩnh,,,,,,,,Khu Do Thi Det May
Khu Đô Thị Dầu Khí Đức Giang,Khu đô thị Dầu khí Đức Giang,,"Xã Đức Giang, Hoài Đức, Hà Nội.",TP. Hà Nội,H. Hoài Đức,X. Đức Giang,,,,,,,,Khu Do Thi Dau Khi Duc Giang
Khu Đô Thị Dương Ngọc,Khu đô thị Dương Ngọc,,"Xã Điện Ngọc, Điện Bàn, Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,P. Điện Ngọc,,,,,,,,Khu Do Thi Duong Ngoc
Khu Đô Thị Dĩnh Trì,Khu đô thị Dĩnh Trì,,"Xã Dĩnh Trì, Bắc Giang, Bắc Giang.",T. Bắc Giang,TP. Bắc Giang,X. Dĩnh Trì,,,,,,,,Khu Do Thi Dinh Tri
Khu Đô Thị Duyên Thái,Khu đô thị Duyên Thái,,"Xã Duyên Thái, Thường Tín, Hà Nội.",TP. Hà Nội,H. Thường Tín,X. Duyên Thái,,,,,,,,Khu Do Thi Duyen Thai
Khu Đô Thị Du Lịch Angel Island,Khu đô thị Du lịch Angel Island,,"Đường Cát Lái, Xã Đại Phước, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Đại Phước,,,,,,,,Khu Do Thi Du Lich Angel Island
Khu Đô Thị Dmc Thuận Thành,Khu đô thị DMC Thuận Thành,,"Thuận Thành, Bắc Ninh.",T. Bắc Ninh,H. Thuận Thành,UNK,,,,,,,,Khu Do Thi Dmc Thuan Thanh
Khu Đô Thị Diamond Park New,Khu đô thị Diamond Park New,,"Xã Tiền Phong, Mê Linh, Hà Nội.",TP. Hà Nội,H. Mê Linh,X. Tiền Phong,,,,,,,,Khu Do Thi Diamond Park New
Khu Đô Thị Diamond City,Khu đô thị Diamond City,,"Xã Điện Thắng Trung, Điện Bàn, Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,X. Điện Thắng Trung,,,,,,,,Khu Do Thi Diamond City
Khu Đô Thị Detaco Nhơn Trạch,Khu đô thị Detaco Nhơn Trạch,,"Đường Nguyễn Văn Cừ, xã Phước An, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Phước An,,,,,,,,Khu Do Thi Detaco Nhon Trach
